"method","bias","mae","rmse","spearman","accuracy","rules"
1,0.0159003749326384,0.0775340564123734,0.0938886618725854,0.735906048276514,0.606666666666667,0
2,-0.00141925498517604,0.084167319285838,0.110828325599755,0.667336495558696,0.575555555555556,0
3,-0.0101770127763759,0.0875604109801471,0.125754938025374,0,0.757777777777778,0
4,-0.0101770127763759,0.0875604109801471,0.125754938025374,0,0.757777777777778,0
1,0.0615807507714183,0.104060586119713,0.126473365649858,0.63807254984364,0.504444444444444,0
2,-0.00258238925094761,0.0941303363328265,0.119151872351059,0.459852706396043,0.422222222222222,0
3,-0.00379310387993851,0.0976877908967439,0.124493365848544,0.572282503755443,0.284444444444444,15
4,-0.00702073359037065,0.0983198662761969,0.127173327654627,0.501521528827456,0.284444444444444,13
1,0.0148590998869961,0.106284797735853,0.130535988705668,0.539222871450257,0.566666666666667,0
2,-0.00925865853827403,0.0895679264878304,0.118565108178775,0.483437596097611,0.468888888888889,0
3,-0.025997987384234,0.0866366856644185,0.129403921485892,0,0.735555555555556,0
4,-0.025997987384234,0.0866366856644185,0.129403921485892,0,0.735555555555556,0
1,0.0306227737382498,0.0923232136224091,0.111719260826824,0.574510233157831,0.508888888888889,0
2,-0.0107388117040492,0.0847759294689648,0.115436917102521,0.452676703967813,0.571111111111111,0
3,-0.00908803112118352,0.0838940453085155,0.120524201274674,0.566248654528753,0.355555555555556,14
4,-0.0102011756384098,0.0845341860417351,0.122340361613769,0.530408700029653,0.235555555555556,13
1,-0.0186815709402271,0.0915508281391751,0.117578149770231,0.562453560664887,0.617777777777778,0
2,-0.00774477630709114,0.0967001682857695,0.124990321124369,0.541269364267733,0.442222222222222,0
3,-0.0281766955161923,0.0942925437849843,0.137206440598258,0,0.724444444444444,0
4,-0.0281766955161923,0.0942925437849843,0.137206440598258,0,0.724444444444444,0
1,-0.0282633611598035,0.0921687284821495,0.114733839665871,0.63966968884626,0.693333333333333,0
2,-0.0318237201849699,0.084970051558934,0.114036402571212,0.632111869779341,0.753333333333333,0
3,-0.03154779689566,0.0885889490350907,0.126542445545608,0.606155157104038,0.753333333333333,13
4,-0.0344038658620776,0.0928604676044234,0.131129164574509,0.47386100111479,0.733333333333333,12
1,0.0394568917734218,0.0909230146265096,0.11216049750962,0.684006886482138,0.537777777777778,0
2,0.012023490707244,0.0875051298366296,0.112817037563956,0.516966528782098,0.36,0
3,-0.0103307665964091,0.0833617127402883,0.121194720734598,0,0.757777777777778,0
4,-0.0103307665964091,0.0833617127402883,0.121194720734598,0,0.757777777777778,0
1,-0.0112691801274563,0.0946099826598219,0.114526043386096,0.654304090983518,0.677777777777778,0
2,-0.0316601392021214,0.0879530634509049,0.118632830120662,0.611217284041249,0.744444444444444,0
3,-0.0304666625657353,0.0907992775797237,0.128573679609246,0.658217234937361,0.864444444444444,15
4,-0.0322101945349081,0.0936685296915176,0.132362762607933,0.483341347333556,0.748888888888889,13
1,0.0287888749968302,0.0841364113259739,0.103085925155652,0.755156989544574,0.544444444444444,0
2,0.0041993045980275,0.0853598204214331,0.104474175140753,0.636758838940204,0.62,0
3,-0.0128079963858489,0.0843533611513982,0.125524458825902,0,0.771111111111111,0
4,-0.0128079963858489,0.0843533611513982,0.125524458825902,0,0.771111111111111,0
1,0.0061860255403296,0.0851917092093775,0.101347592348943,0.690202221143118,0.617777777777778,0
2,-0.0207673798421844,0.0872955243208672,0.120105856099284,0.630568206800747,0.724444444444444,0
3,-0.0195820876094612,0.0899633447913148,0.127594162884363,0.856891876908945,0.926666666666667,15
4,-0.0192068779185694,0.0922907070987493,0.130827667174608,0.732117782414917,0.766666666666667,15
1,0.0415519983342365,0.0891442148175804,0.104560740614021,0.763765312996814,0.533333333333333,0
2,0.00395058053273834,0.102399917282315,0.12679491492615,0.54986861862899,0.422222222222222,0
3,-0.0231113209117786,0.100909476699004,0.140440903774802,0,0.717777777777778,0
4,-0.0231113209117786,0.100909476699004,0.140440903774802,0,0.717777777777778,0
1,0.0328826507649516,0.0986413932875159,0.11644273743523,0.645404025148498,0.524444444444444,0
